instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,breadth,noOB,1,110,5.54257,30983,0.164048,4.6553,0.316134,3119,3,22,14.159,910,183,467,0.00927642,0.00987148,5.26378,0.000542813,0.0888972,0.000801082
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,depth,coneOB,1,110,5.18299,27797,0.137346,4.32324,0.26568,3091,3,21,14.2646,1340,107,99,0.0150858,0.00915119,4.85864,0.00162085,0.104321,0.000351965
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,depth,fullOB,1,110,5.21789,28187,0.135533,4.31179,0.27115,3463,3,21,14.1164,1673,106,86,0.0144735,0.00993991,4.86271,0.0125954,0.114858,0.000411394
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,depth,noOB,1,110,6.34188,31410,0.185365,5.36452,0.30876,3423,3,22,14.6466,1022,280,410,0.0157433,0.011482,6.02049,0.000648124,0.0911866,0.000384478
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,breadth,coneOB,1,64,3.43261,20761,0.382827,2.76073,0.127023,1437,3,19,13.2281,629,19,71,0.00506811,0.00456639,3.34292,0.000390897,0.0101766,0.000253787
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,breadth,fullOB,1,64,3.80787,22240,0.438692,3.03189,0.131209,1767,3,19,12.9805,870,18,88,0.0050776,0.00451919,3.68503,0.002129,0.0116168,0.000298257
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,breadth,noOB,1,64,3.82732,22526,0.458013,3.07861,0.13396,1445,3,19,13.3499,488,87,148,0.00211802,0.00541109,3.74439,0.000220382,0.00655894,0.000204817
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,depth,coneOB,1,64,2.84963,16839,0.312259,2.29781,0.104652,1181,3,19,13.2893,535,24,32,0.00348409,0.0032134,2.7705,0.000365519,0.0088868,0.000141796
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,depth,fullOB,1,64,3.05021,17796,0.351238,2.4345,0.104929,1479,3,19,12.3223,770,21,28,0.00350689,0.00340139,2.95565,0.00340706,0.0111807,0.000166991
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,depth,noOB,1,64,3.2712,19419,0.396358,2.61836,0.117612,1249,3,19,13.4608,411,95,119,0.00235752,0.0047131,3.19692,0.000211006,0.00540259,0.00014981
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,breadth,coneOB,1,64,2.46223,13952,0.0616242,2.04245,0.140647,1431,3,19,13.2095,626,19,71,0.00528212,0.00381269,2.30904,0.000393405,0.0461999,0.000461306
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,breadth,fullOB,1,64,2.75015,15531,0.0619268,2.2806,0.152701,1765,3,19,12.9744,869,18,88,0.00585248,0.00407101,2.57169,0.00209729,0.0541672,0.000493716
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,breadth,noOB,1,64,2.63862,14166,0.0726959,2.21953,0.147181,1445,3,19,13.3499,488,87,148,0.0024456,0.00419212,2.50061,0.000297608,0.0426808,0.00033841
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,depth,coneOB,1,64,2.02182,11354,0.0476971,1.70113,0.11271,1177,3,19,13.2699,533,24,32,0.00363349,0.00275631,1.91128,0.000350561,0.0371089,0.000167377
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,depth,fullOB,1,64,2.26986,12513,0.0533415,1.8801,0.121659,1475,3,19,12.3076,767,21,28,0.00387959,0.0031593,2.11616,0.0037545,0.0484516,0.000193531
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,depth,noOB,1,64,2.21063,12228,0.0561643,1.85554,0.122197,1249,3,19,13.4608,411,95,119,0.00290638,0.00345574,2.09335,0.000207618,0.0359576,0.000170495
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,breadth,coneOB,1,2,0.237187,1245,0.0519206,0.164151,0.00656871,127,2,12,7.54688,34,3,27,0.000113907,0.000188706,0.22856,2.1287e-05,0.000641504,1.7801e-05
